Word,Language
@,O
AdilNisarButt,Hin
pakistan,Hin
ka,Hin
ghra,Hin
tauq,Hin
he,Eng
Pakistan,Eng
Israel,Eng
ko,Eng
tasleem,Hin
nahein,Hin
kerta,Hin
Isko,Hin
Palestine,Hin
kehta,Hin
he,Hin
-,O
OCCUPIED,Hin
PALESTINE,Hin
Madarchod,Hin
mulle,Hin
ye,Hin
mathura,Hin
me,Hin
Nahi,Hin
dikha,Hin
tha,Hin
jab,Hin
mullo,Hin
ne,Hin
Hindu,Hin
ko,Hin
iss,Hin
liye,Hin
mara,Hin
ki,Hin
vo,Hin
lasse,Hin
ki,Hin
paise,Hin
mag,Hin
liye,Hin
the,Eng
…,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
oxf8tr3bly,Eng
@,O
narendramodi,Hin
Manya,Hin
Pradhan,Hin
Mantri,Hin
mahoday,Hin
Shriman,Hin
Narendra,Hin
Modi,Hin
ji,Hin
Pradhanmantri,Hin
banne,Hin
par,Hin
Hardik,Hin
Badhai,Hin
tahe,Hin
Dil,Hin
…,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
pRnoMsKkn1,Eng
@,O
Atheist,Eng
_,O
Krishna,Eng
Jcb,Eng
full,Eng
trend,Eng
me,Eng
chal,Hin
rahi,Hin
aa,Hin
@,O
AbhisharSharma,Hin
_,O
@,O
RavishKumarBlog,Hin
Loksabha,Eng
me,Hin
janta,Hin
sirf,Hin
modi,Hin
ko,Hin
vote,Hin
de,Hin
rahi,Hin
thi,Hin
na,Hin
ki,Hin
kisi,Hin
MP,Hin
or,Eng
BJP,Eng
ko,Eng
without,Eng
m,Eng
…,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
sHtBWCB7FM,Eng
@,O
noirnaveed,Eng
@,O
AngelAhana6,Eng
@,O
cricketworldcup,Eng
Bhosdike,Eng
tum,Hin
pechvade,Hin
ki,Hin
tatti,Hin
hi,Hin
rahoge,Hin
bc,Hin
Love,Hin
u,Hin
Bhaijan,Eng
...♥♥,O
Father,Eng
+,O
son,Eng
..,O
#,O
Bharat,Hin
#,O
IAmBharat,Hin
#,O
BharatThisEid,Hin
BEST,Hin
Pic,Eng
From,Eng
Entire,Eng
#,O
Promotions,Eng
...,O
Mashallah,Eng
…,O
https,Eng
//,O
t,Eng
.,O
co,Hin
/,O
S2xhwU6LUD,Eng
@,O
manojgajjar111,Eng
Tumhara,Eng
pass,Hin
abh,Hin
deemagh,Hin
hai,Hin
nahi,Hin
islea,Eng
Google,Eng
ko,Hin
apna,Hin
deemagh,Hin
banaya,Hin
hua,Hin
hai,Hin
.,O
Har,Hin
koi,Hin
tumhari,Hin
tarh,Hin
…,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
BxuEug3xsN,Eng
@,O
Mahlogo,Hin
_,O
nolo,Eng
Weni,Eng
ankere,Hin
o,Hin
gae,Hin
this,Eng
weekend,Eng
😂😂😂😂😂,O
@,O
Aurangzeb,Hin
_,O
AIMIM,Eng
@,O
SachinS40805591,Eng
Lage,Eng
raho,Hin
mullo,Hin
tumhre,Hin
issi,Hin
Quran,Hin
faad,Eng
gyan,Hin
ki,Hin
kayal,Hin
hain,Hin
duniya,Hin
Allah,Hin
bhi,Hin
khus,Hin
…,O
https,Eng
//,O
t,Eng
co,Eng
/,O
GHa9dWNZ6u,Eng
@,O
reema,Eng
_,O
omer,Eng
@,O
BushraGohar,Eng
@,O
QasimKhanSuri,Hin
@,O
Ali,Eng
_,O
MuhammadPTI,Hin
Pakhtoon,Hin
k,Eng
haqooq,Hin
ki,Hin
jang,Hin
nahi,Hin
punjab,Hin
k,Hin
haqooq,Hin
ki,Hin
jung,Hin
pak,Hin
…,O
https,Eng
//,O
t,Eng
.,O
co,Hin
/,O
R7pjojNwre,Hin
@,O
cooladitaya,Hin
@,O
khanumarfa,Hin
Ye,Hin
sale,Hin
is,Hin
desh,Hin
ke,Hin
kabhi,Hin
sage,Hin
nahin,Hin
ho,Hin
sakte,Hin
Ye,Hin
gaddar,Hin
hain,Hin
Inke,Hin
sath,Hin
kadi,Hin
se,Hin
kadi,Hin
kanun,Hin
…,O
https,Eng
//,O
t,Eng
co,Eng
/,O
0HuukV4zK2,Eng
@,O
HYUN7lN,Hin
saf,Hin
baby,Hin
((,O
i,Hin
’,O
m,Eng
sorry,Hin
i,Hin
wasn,Hin
’,O
t,Eng
online,Eng
i,Eng
hope,Eng
you,Eng
’,O
re,Eng
sleeping,Eng
well,Eng
though,Eng
i,Eng
love,Hin
you,Hin
@,O
Nevveon,Eng
Real,Eng
life,Eng
k,Hin
log,Hin
chor,Hin
diye,Hin
hain,Hin
mene,Hin
already,Eng
jo,Eng
snakes,Eng
thy,Eng
ab,Hin
internet,Eng
k,Eng
chorne,Hin
hain,Hin
...,O
i'm,Hin
sad,Hin
for,Eng
no,Eng
reason,Eng
solmon,Eng
(((,O
@,O
mjdawar,Eng
Mohsin,Hin
DawarTweets,Hin
daikho,Hin
aur,Hin
kuch,Hin
kha,Hin
ker,Hin
mar,Hin
jao,Hin
Bayghayrat,Hin
insanTum,Hin
aur,Hin
Ali,Hin
Wazir,Hin
harami,Hin
ho,Hin
.,O
Pakistan,Eng
…,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
i9vB0emof3,Eng
@,O
AnupamPKher,Hin
Kuch,Hin
media,Eng
channel,Eng
dikh,Hin
rahe,Hin
hai,Hin
ki,Hin
inke,Hin
upar,Hin
kai,Hin
prakaar,Hin
ke,Hin
criminal,Eng
cases,Eng
hai,Hin
shame,Hin
on,Eng
this,Eng
type,Eng
of,Eng
media,Eng
channel,Eng
@,O
EkThaEngg,Hin
@,O
AnupamPKher,Hin
Abe,Hin
mc,Hin
..,O
nhi,Hin
malum,Hin
to,Hin
ammi,Hin
mat,Hin
chuda,Hin
bsdk,Hin
..,O
grahm,Eng
stains,Eng
ko,Hin
dara,Hin
singh,Hin
ne,Hin
mara,Hin
tha,Hin
adivasiy,Hin
…,O
https,Eng
//,O
t,Eng
.,O
co,Hin
/,O
cL4elcDUe8,Eng
@,O
tamashbeen,Eng
_,O
Well,Eng
chara,Eng
Chor,Hin
ke,Hin
chele,Hin
this,Eng
news,Eng
is,Eng
a,Eng
year,Eng
old,Eng
...,O
Twitter,Eng
k,Hin
baghair,Hin
apna,Hin
roza,Hin
mumkin,Hin
nahi,Hin
hota,Hin
?,O
Apna,Hin
chutiyaap,Hin
dusron,Hin
per,Hin
thopna,Hin
band,Hin
karo,Hin
Bhai,Eng
!,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
APKD4G8lh0,Eng
Oh,Hin
haha,Hin
the,Hin
soldier,Eng
is,Eng
reading,Eng
American,Eng
Gods,Eng
hardy,Eng
har,Hin
har,Hin
thanks,Eng
for,Eng
reminding,Eng
everyone,Eng
of,Eng
your,Eng
OTHER,Eng
clusterfuck,Eng
@,O
asadowaisi,Hin
@,O
PMOIndia,Hin
Mp,Hin
me,Eng
govt,Eng
kamalnath,Hin
ki,Hin
h,Eng
...,O
Wese,Eng
ek,Hin
or,Eng
video,Eng
viral,Eng
h,Hin
jisme,Hin
aapke,Hin
shantidut,Hin
bhai,Hin
ek,Hin
dukandar,Hin
…,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
doLm3ODDCs,Eng
@,O
idevadhikari,Hin
Dev,Hin
da,Hin
tmr,Hin
new,Eng
movie,Eng
song,Eng
Ami,Hin
tmk,Hin
valobasi,Hin
I,Hin
really,Eng
loved,Eng
❤😘,O
a,Eng
lot,Eng
😍😘☺❤💓,O
Abe,Eng
BC,Eng
kya,Hin
le,Hin
jayenge,Hin
yeh,Hin
toh,Hin
batah,Hin
abhi,Hin
😜,EMT
#,O
PAKvWI,Hin
Babaji,Hin
Ka,Hin
Thullu,Hin
😂,O
https,Eng
//,O
t,Eng
.,O
co,Eng
/,O
RtZucwCQxA,Eng
I,Eng
hope,Eng
I,Hin
see,Hin
my,Hin
baby,Hin
this,Eng
weekend,Eng
but,Eng
highly,Eng
doubt,Eng
it,Eng
🥺,O
ugh,Hin
@,O
DesiStupides,Eng
Teri,Hin
ma,Hin
ka,Hin
sakinaka,Hin
